xrsa_flux,xrsb_flux,status,flare_class
1e-09,1.02582206e-07,POST_EVENT,nan
1e-09,1.27941e-07,EVENT_START,nan
2.7967344e-09,2.7524237e-07,EVENT_PEAK,B2.7
1e-09,1.737472e-07,EVENT_END,nan
1e-09,1.9759217e-07,EVENT_START,nan
4.460584e-09,3.9181032e-07,EVENT_PEAK,B3.9
1e-09,2.870642e-07,EVENT_END,nan
1e-09,1.9156252e-07,POST_EVENT,nan
1e-09,1.5029562e-07,EVENT_START,nan
1.936114e-08,4.1544095e-07,EVENT_PEAK,B4.1
1e-09,1.8688921e-07,EVENT_END,nan
1e-09,1.359737e-07,POST_EVENT,nan
1e-09,1.2950677e-07,EVENT_START,nan
1e-09,2.0896677e-07,EVENT_PEAK,B2.0
1e-09,1.5899195e-07,EVENT_END,nan
1e-09,1.2399501e-07,POST_EVENT,nan
1e-09,1.8161946e-07,EVENT_START,nan
1e-09,2.454928e-07,EVENT_PEAK,B2.4
1e-09,2.0430961e-07,EVENT_END,nan
1e-09,1.7933863e-07,POST_EVENT,nan
1e-09,1.3965803e-07,EVENT_START,nan
1e-09,2.0272634e-07,EVENT_PEAK,B2.0
1e-09,1.4584853e-07,EVENT_END,nan
1e-09,1.3402371e-07,POST_EVENT,nan
1e-09,1.4462807e-07,EVENT_START,nan
1e-09,2.1242677e-07,EVENT_PEAK,B2.1
1e-09,1.7490628e-07,EVENT_END,nan
1e-09,1.4376559e-07,POST_EVENT,nan
1e-09,1.9035475e-07,EVENT_START,nan
9.7376605e-09,3.9122142e-07,EVENT_PEAK,B3.9
1e-09,2.5552777e-07,EVENT_END,nan
1e-09,1.7800583e-07,POST_EVENT,nan
1e-09,1.6661005e-07,EVENT_START,nan
1e-09,2.4175452e-07,EVENT_PEAK,B2.4
1e-09,1.9056e-07,EVENT_END,nan
1e-09,1.6322649e-07,POST_EVENT,nan
1e-09,1.3404615e-07,EVENT_START,nan
1.627595e-09,1.8265273e-07,EVENT_PEAK,B1.8
1e-09,1.499295e-07,EVENT_END,nan
1e-09,1.377483e-07,EVENT_START,nan
2.4484312e-09,2.1439922e-07,EVENT_PEAK,B2.1
2.1502056e-09,1.6637902e-07,EVENT_END,nan
3.9222847e-09,1.3810269e-07,POST_EVENT,nan
6.240101e-09,2.794211e-07,EVENT_START,nan
2.2543237e-08,4.9705363e-07,EVENT_PEAK,B4.9
9.471298e-09,3.6498298e-07,EVENT_END,nan
6.70678e-09,2.9253283e-07,POST_EVENT,nan
3.15395e-09,1.5271776e-07,EVENT_START,nan
1.156345e-08,2.9082435e-07,EVENT_PEAK,B2.9
4.2353836e-09,1.79216e-07,EVENT_END,nan
3.9069485e-09,1.4822281e-07,POST_EVENT,nan
3.048415e-09,1.809776e-07,EVENT_START,nan
1.23004265e-08,2.9386476e-07,EVENT_PEAK,B2.9
6.7941035e-09,2.2845036e-07,EVENT_END,nan
3.6466283e-09,2.2025485e-07,EVENT_START,nan
2.2001663e-08,3.968743e-07,EVENT_PEAK,B3.9
5.0390425e-09,2.711481e-07,EVENT_END,nan
3.9943466e-09,2.1968906e-07,POST_EVENT,nan
5.123373e-09,2.922366e-07,EVENT_START,nan
1.4891175e-08,4.0659373e-07,EVENT_PEAK,B4.0
5.9747274e-09,2.9513498e-07,EVENT_END,nan
7.154954e-09,2.918495e-07,EVENT_START,nan
4.7037933e-08,7.415379e-07,EVENT_PEAK,B7.4
7.921369e-09,3.2689186e-07,EVENT_END,nan
4.997733e-09,2.982497e-07,POST_EVENT,nan
1.9199011e-09,1.3361536e-07,EVENT_START,nan
7.784324e-09,1.979902e-07,EVENT_PEAK,B1.9
5.2917226e-09,1.5784092e-07,EVENT_END,nan
1e-09,1.7148511e-07,EVENT_START,nan
1.1434863e-07,1.3447772e-06,EVENT_PEAK,C1.3
1.5283495e-08,6.399939e-07,EVENT_END,nan
1e-09,2.1197796e-07,EVENT_START,nan
1e-09,2.8946255e-07,EVENT_PEAK,B2.8
1e-09,2.2793334e-07,EVENT_END,nan
1e-09,2.0323432e-07,POST_EVENT,nan
